url	x	y	user	timestamp
file:///home/sol-nhl/dev/cce-web/web/py/index.html	560	263		2024-08-05 18:36:36.267
file:///home/sol-nhl/dev/cce-web/web/py/index.html	558	266		2024-08-05 18:36:36.283
file:///home/sol-nhl/dev/cce-web/web/py/index.html	555	272		2024-08-05 18:36:36.296
file:///home/sol-nhl/dev/cce-web/web/py/index.html	553	275		2024-08-05 18:36:36.313
file:///home/sol-nhl/dev/cce-web/web/py/index.html	549	281		2024-08-05 18:36:36.334
file:///home/sol-nhl/dev/cce-web/web/py/index.html	547	284		2024-08-05 18:36:36.352
file:///home/sol-nhl/dev/cce-web/web/py/index.html	544	288		2024-08-05 18:36:36.367
file:///home/sol-nhl/dev/cce-web/web/py/index.html	543	290		2024-08-05 18:36:36.383
file:///home/sol-nhl/dev/cce-web/web/py/index.html	541	295		2024-08-05 18:36:36.401
file:///home/sol-nhl/dev/cce-web/web/py/index.html	539	299		2024-08-05 18:36:36.418
file:///home/sol-nhl/dev/cce-web/web/py/index.html	537	302		2024-08-05 18:36:36.429
file:///home/sol-nhl/dev/cce-web/web/py/index.html	535	307		2024-08-05 18:36:36.453
file:///home/sol-nhl/dev/cce-web/web/py/index.html	533	309		2024-08-05 18:36:36.467
file:///home/sol-nhl/dev/cce-web/web/py/index.html	530	315		2024-08-05 18:36:36.482
file:///home/sol-nhl/dev/cce-web/web/py/index.html	529	317		2024-08-05 18:36:36.501
file:///home/sol-nhl/dev/cce-web/web/py/index.html	527	321		2024-08-05 18:36:36.517
file:///home/sol-nhl/dev/cce-web/web/py/index.html	526	324		2024-08-05 18:36:36.537
file:///home/sol-nhl/dev/cce-web/web/py/index.html	524	327		2024-08-05 18:36:36.546
file:///home/sol-nhl/dev/cce-web/web/py/index.html	523	329		2024-08-05 18:36:36.567
file:///home/sol-nhl/dev/cce-web/web/py/index.html	521	332		2024-08-05 18:36:36.597
file:///home/sol-nhl/dev/cce-web/web/py/index.html	521	333		2024-08-05 18:36:36.602
file:///home/sol-nhl/dev/cce-web/web/py/index.html	520	335		2024-08-05 18:36:36.622
file:///home/sol-nhl/dev/cce-web/web/py/index.html	519	336		2024-08-05 18:36:36.633
file:///home/sol-nhl/dev/cce-web/web/py/index.html	519	337		2024-08-05 18:36:36.650
file:///home/sol-nhl/dev/cce-web/web/py/index.html	519	338		2024-08-05 18:36:36.663
file:///home/sol-nhl/dev/cce-web/web/py/index.html	519	338		2024-08-05 18:36:36.687
file:///home/sol-nhl/dev/cce-web/web/py/index.html	519	338		2024-08-05 18:36:36.702
file:///home/sol-nhl/dev/cce-web/web/py/index.html	518	340		2024-08-05 18:36:36.722
file:///home/sol-nhl/dev/cce-web/web/py/index.html	518	343		2024-08-05 18:36:36.737
file:///home/sol-nhl/dev/cce-web/web/py/index.html	518	344		2024-08-05 18:36:36.752
file:///home/sol-nhl/dev/cce-web/web/py/index.html	518	344		2024-08-05 18:36:36.767
file:///home/sol-nhl/dev/cce-web/web/py/index.html	518	347		2024-08-05 18:36:36.780
file:///home/sol-nhl/dev/cce-web/web/py/index.html	518	347		2024-08-05 18:36:36.800
file:///home/sol-nhl/dev/cce-web/web/py/index.html	518	349		2024-08-05 18:36:36.818
file:///home/sol-nhl/dev/cce-web/web/py/index.html	518	350		2024-08-05 18:36:36.843
file:///home/sol-nhl/dev/cce-web/web/py/index.html	518	352		2024-08-05 18:36:36.860
file:///home/sol-nhl/dev/cce-web/web/py/index.html	518	354		2024-08-05 18:36:36.871
file:///home/sol-nhl/dev/cce-web/web/py/index.html	520	356		2024-08-05 18:36:36.884
file:///home/sol-nhl/dev/cce-web/web/py/index.html	522	358		2024-08-05 18:36:36.897
file:///home/sol-nhl/dev/cce-web/web/py/index.html	525	358		2024-08-05 18:36:36.916
file:///home/sol-nhl/dev/cce-web/web/py/index.html	530	359		2024-08-05 18:36:36.933
file:///home/sol-nhl/dev/cce-web/web/py/index.html	533	360		2024-08-05 18:36:36.952
file:///home/sol-nhl/dev/cce-web/web/py/index.html	537	362		2024-08-05 18:36:36.966
file:///home/sol-nhl/dev/cce-web/web/py/index.html	539	363		2024-08-05 18:36:36.982
file:///home/sol-nhl/dev/cce-web/web/py/index.html	542	365		2024-08-05 18:36:37.000
file:///home/sol-nhl/dev/cce-web/web/py/index.html	543	365		2024-08-05 18:36:37.012
file:///home/sol-nhl/dev/cce-web/web/py/index.html	545	365		2024-08-05 18:36:37.033
file:///home/sol-nhl/dev/cce-web/web/py/index.html	545	365		2024-08-05 18:36:37.049
